Amazon Link, Title, Author
http://www.amazon.ca/exec/obidos/ASIN/8120321413/ref=nosim/deliciousmons-22, ,  
http://www.amazon.com/exec/obidos/ASIN/0262240297/ref=nosim/deliciousmons-20, ABCL: An Object-Oriented Concurrent System, Akinori Yonezawa  
http://www.amazon.com/exec/obidos/ASIN/0262010925/ref=nosim/deliciousmons-20, ACTORS: A Model of Concurrent Computation in Distributed Systems, Gul Agha  
http://www.amazon.com/exec/obidos/ASIN/0136070477/ref=nosim/deliciousmons-20, AI Algorithms  Data Structures  and Idioms in Prolog  Lisp  and Java, George F. Luger  William A Stubblefield  
http://www.amazon.com/exec/obidos/ASIN/1584504218/ref=nosim/deliciousmons-20, AI Application Programming, M. Tim Jones  
http://www.amazon.com/exec/obidos/ASIN/0133708756/ref=nosim/deliciousmons-20, ANSI Common LISP, Paul Graham  
http://www.amazon.co.uk/exec/obidos/ASIN/8120323823/ref=nosim/deliciousmons-21, ARTIFICIAL INTELLIGENCE: A MODERN APPROACH, Russel  Norvig  
http://www.amazon.com/exec/obidos/ASIN/0471202835/ref=nosim/deliciousmons-20, Agile Database Techniques: Effective Strategies for the Agile Software Developer, Scott Ambler  
http://www.amazon.com/exec/obidos/ASIN/073561993X/ref=nosim/deliciousmons-20, Agile Project Management with Scrum, Ken Schwaber  
http://www.amazon.com/exec/obidos/ASIN/0201699699/ref=nosim/deliciousmons-20, Agile Software Development, Alistair Cockburn  
http://www.amazon.com/exec/obidos/ASIN/0130676349/ref=nosim/deliciousmons-20, Agile Software Development with Scrum, Ken Schwaber  Mike Beedle  
http://www.amazon.com/exec/obidos/ASIN/0135974445/ref=nosim/deliciousmons-20, Agile Software Development  Principles  Patterns  and Practices, Robert C. Martin  
http://www.amazon.com/exec/obidos/ASIN/0262530864/ref=nosim/deliciousmons-20, Algorithmic Skeletons: Structural Management of Parallel Computation, Murray I. Cole  
http://www.amazon.com/exec/obidos/ASIN/1933988665/ref=nosim/deliciousmons-20, Algorithms of the Intelligent Web, Haralambos Marmanis  Dmitry Babenko  
http://www.amazon.com/exec/obidos/ASIN/007001115X/ref=nosim/deliciousmons-20, Anatomy of Lisp, John Allen  
http://www.amazon.com/exec/obidos/ASIN/0070355967/ref=nosim/deliciousmons-20, The Architecture of Symbolic Computers, Peter M. Kogge  
http://www.amazon.com/exec/obidos/ASIN/071671938X/ref=nosim/deliciousmons-20, Armchair Universe, A.K. Dewdney  
http://www.amazon.com/exec/obidos/ASIN/B003ZHB2RK/ref=nosim/deliciousmons-20, The Art and Science of Smalltalk, Simon Lewis  
http://www.amazon.com/exec/obidos/ASIN/0471503363/ref=nosim/deliciousmons-20, The Art of Computer Systems Performance Analysis: Techniques for Experimental Design  Measurement  Simulation  and Modeling, R. K. Jain  
http://www.amazon.com/exec/obidos/ASIN/0201517973/ref=nosim/deliciousmons-20, The Art of Human-Computer Interface Design, Brenda Laurel  
http://www.amazon.com/exec/obidos/ASIN/0123705916/ref=nosim/deliciousmons-20, The Art of Multiprocessor Programming, Maurice Herlihy  Nir Shavit  
http://www.amazon.com/exec/obidos/ASIN/0596007868/ref=nosim/deliciousmons-20, The Art of Project Management, Scott Berkun  
http://www.amazon.com/exec/obidos/ASIN/0262610744/ref=nosim/deliciousmons-20, The Art of the Metaobject Protocol, Gregor Kiczales  Jim des Rivieres  Daniel G. Bobrow  
http://www.amazon.com/exec/obidos/ASIN/0262531151/ref=nosim/deliciousmons-20, Artificial Experts: Social Knowledge and Intelligent Machines, H. M. Collins  
http://www.amazon.com/exec/obidos/ASIN/B0017KNMCK/ref=nosim/deliciousmons-20, Artificial Intelligence, Elaine Rich  
http://www.amazon.com/exec/obidos/ASIN/0070522634/ref=nosim/deliciousmons-20, Artificial Intelligence, Elaine Rich  Kevin Knight  
http://www.amazon.com/exec/obidos/ASIN/8122416616/ref=nosim/deliciousmons-20, Artificial Intelligence, Christopher Thornton  
http://www.amazon.com/exec/obidos/ASIN/0201533774/ref=nosim/deliciousmons-20, Artificial Intelligence, Winston  
http://www.amazon.com/exec/obidos/ASIN/0538726970/ref=nosim/deliciousmons-20, The Artificial Intelligence Handbook: Business Applications, Joel G. Siegel  Jae K. Shim  
http://www.amazon.com/exec/obidos/ASIN/0763732303/ref=nosim/deliciousmons-20, Artificial Intelligence Illuminated, Ben Coppin  
http://www.amazon.com/exec/obidos/ASIN/0898596092/ref=nosim/deliciousmons-20, Artificial Intelligence Programming, Eugene Charniak  Christopher K. Riesbeck  Drew V. McDermott  James R. Meehan  
http://www.amazon.com/exec/obidos/ASIN/0262521237/ref=nosim/deliciousmons-20, Artificial Intelligence and Natural Man  Second Edition, Margaret A. Boden  
http://www.amazon.com/exec/obidos/ASIN/0321204662/ref=nosim/deliciousmons-20, Artificial Intelligence: A Guide to Intelligent Systems, Michael Negnevitsky  
http://www.amazon.com/exec/obidos/ASIN/047190581X/ref=nosim/deliciousmons-20, Artificial Intelligence: Concepts  Techniques  and Applications, Yoshiaki Shirai  J. Tsujii  
http://www.amazon.com/exec/obidos/ASIN/0321263189/ref=nosim/deliciousmons-20, Artificial Intelligence: Structures and Strategies for Complex Problem Solving, George F. Luger  
http://www.amazon.com/exec/obidos/ASIN/006041894X/ref=nosim/deliciousmons-20, Artificial Intelligence: Tools  Techniques and Applications, Tim O'Shea  M. Eistenstadt  
http://www.amazon.com/exec/obidos/ASIN/0201525712/ref=nosim/deliciousmons-20, Artificial Life II, Christopher G. Langton  Charles Taylor  J. Doyne Farmer  Steen Rasmussen  
http://www.amazon.com/exec/obidos/ASIN/020162494X/ref=nosim/deliciousmons-20, Artificial Life III, Christopher G. Langton  
http://www.amazon.com/exec/obidos/ASIN/0262621126/ref=nosim/deliciousmons-20, Artificial Life: An Overview, Christopher G. Langton  
http://www.amazon.com/exec/obidos/ASIN/0130534714/ref=nosim/deliciousmons-20, Automatic Natural Language Parsing, Karen Sparck Jones  Yorick Wilks  
http://www.amazon.com/exec/obidos/ASIN/0596510047/ref=nosim/deliciousmons-20, Beautiful Code: Leading Programmers Explain How They Think, Andy Oram  Greg Wilson  
http://www.amazon.com/exec/obidos/ASIN/1590595009/ref=nosim/deliciousmons-20, The Best Software Writing I: Selected and Introduced by Joel Spolsky, Joel Spolsky  
http://www.amazon.com/exec/obidos/ASIN/0201719606/ref=nosim/deliciousmons-20, Beyond Chaos: The Expert Edge in Managing Software Development, Larry L. Constantine  
http://www.amazon.com/exec/obidos/ASIN/0201775948/ref=nosim/deliciousmons-20, Beyond Software Architecture: Creating and Sustaining Winning Solutions, Luke Hohmann  
http://www.amazon.com/exec/obidos/ASIN/1558607838/ref=nosim/deliciousmons-20, Blondie24: Playing at the Edge of AI, David B. Fogel  
http://www.amazon.com/exec/obidos/ASIN/047020172X/ref=nosim/deliciousmons-20, Build Your Own Expert System, Chris Naylor  
http://www.amazon.com/exec/obidos/ASIN/0201719622/ref=nosim/deliciousmons-20, Building Parsers With Java, Steven John Metsker  
http://www.amazon.com/exec/obidos/ASIN/0262061570/ref=nosim/deliciousmons-20, Building Problem Solvers, Kenneth D. Forbus  Johan de Kleer  
http://www.amazon.com/exec/obidos/ASIN/0596102356/ref=nosim/deliciousmons-20, Building Scalable Web Sites: Building  Scaling  and Optimizing the Next Generation of Web Applications, Cal Henderson  
http://www.amazon.com/exec/obidos/ASIN/0130659037/ref=nosim/deliciousmons-20, Capacity Planning for Web Services: Metrics  Models  and Methods, Daniel A. Menasce  Virgilio A.F. Almeida  
http://www.amazon.com/exec/obidos/ASIN/0521773628/ref=nosim/deliciousmons-20, Causality: Models  Reasoning  and Inference, Judea Pearl  
http://www.amazon.com/exec/obidos/ASIN/3540629718/ref=nosim/deliciousmons-20, Clause and Effect: Prolog Programming for the Working Programmer, William F. Clocksin  
http://www.amazon.com/exec/obidos/ASIN/0735619670/ref=nosim/deliciousmons-20, Code Complete: A Practical Handbook of Software Construction, Steve McConnell  
http://www.amazon.com/exec/obidos/ASIN/1933988312/ref=nosim/deliciousmons-20, Collective Intelligence in Action, Satnam Alag  
http://www.amazon.com/exec/obidos/ASIN/0486402584/ref=nosim/deliciousmons-20, Combinatorial Optimization: Algorithms and Complexity, Christos H. Papadimitriou  Kenneth Steiglitz  
http://www.amazon.com/exec/obidos/ASIN/0393955443/ref=nosim/deliciousmons-20, Common LISPcraft, Robert Wilensky  
http://www.amazon.com/exec/obidos/ASIN/0486458806/ref=nosim/deliciousmons-20, Communication Nets: Stochastic Message Flow and Delay, Leonard Kleinrock  
http://www.amazon.com/exec/obidos/ASIN/0321486811/ref=nosim/deliciousmons-20, Compilers: Principles  Techniques  and Tools, Alfred V. Aho  Monica S. Lam  Ravi Sethi  Jeffrey D. Ullman  
http://www.amazon.com/exec/obidos/ASIN/047149111X/ref=nosim/deliciousmons-20, Computer Applications  Volume 2  Queueing Systems, Leonard Kleinrock  
http://www.amazon.com/exec/obidos/ASIN/4871878058/ref=nosim/deliciousmons-20, Computer Gamesmanship, David N. L. Levy  
http://www.amazon.com/exec/obidos/ASIN/0471798142/ref=nosim/deliciousmons-20, Computer Science Reconsidered: The Invocation Model of Process Expression, Karl M. Fant  
http://www.amazon.com/exec/obidos/ASIN/0195062825/ref=nosim/deliciousmons-20, Computers and Human Language, George W. Smith  
http://www.amazon.com/exec/obidos/ASIN/0262220695/ref=nosim/deliciousmons-20, Concepts  Techniques  and Models of Computer Programming, Peter Van Roy  Seif Haridi  
http://www.amazon.com/exec/obidos/ASIN/0534952119/ref=nosim/deliciousmons-20, Concrete Abstractions: An Introduction to Computer Science Using Scheme, Max Hailperin  Barbara Kaiser  Karl Knight  
http://www.amazon.com/exec/obidos/ASIN/0471987107/ref=nosim/deliciousmons-20, Concurrency: State Models & Java Programs, Jeff Magee  Jeff Kramer  
http://www.amazon.com/exec/obidos/ASIN/0262580977/ref=nosim/deliciousmons-20, The Connection Machine, W. Danny Hillis  
http://www.amazon.com/exec/obidos/ASIN/0471597538/ref=nosim/deliciousmons-20, Constructing Language Processors for Little Languages, Randy M. Kaplan  
http://www.amazon.com/exec/obidos/ASIN/0787967076/ref=nosim/deliciousmons-20, The Contrarian's Guide to Leadership, Steven B. Sample  
http://www.amazon.com/exec/obidos/ASIN/0884271536/ref=nosim/deliciousmons-20, Critical Chain, Eliyahu M. Goldratt  
http://www.amazon.com/exec/obidos/ASIN/0932633293/ref=nosim/deliciousmons-20, Data Model Patterns: Conventions of Thought, David C. Hay  
http://www.amazon.com/exec/obidos/ASIN/0130146595/ref=nosim/deliciousmons-20, Death March: The Complete Software Developer's Guide to Surviving 'Mission Impossible' Projects, Edward Yourdon  
http://www.amazon.com/exec/obidos/ASIN/0024216917/ref=nosim/deliciousmons-20, Decision Support and Expert Systems Ma, Efraim Turban  
http://www.amazon.com/exec/obidos/ASIN/0884271633/ref=nosim/deliciousmons-20, Deming and Goldratt, Domenico Lepore  Oded Cohen  
http://www.amazon.com/exec/obidos/ASIN/0262201755/ref=nosim/deliciousmons-20, Design Concepts in Programming Languages, Franklyn A. Turbak  David K. Gifford  
http://www.amazon.com/exec/obidos/ASIN/013215871X/ref=nosim/deliciousmons-20, A Discipline of Programming, Edsger W. Dijkstra  
http://www.amazon.com/exec/obidos/ASIN/8178672405/ref=nosim/deliciousmons-20, Distributed Algorithms,  
